track,cluster,course_title,total_hours,grade_lvl,g11,g11_terms,g11_units_per_term,g11_units_per_year,g12,g12_terms,g12_units_per_term,g12_units_per_year,ww,pt,ex,st1,st2,te
SSHS - CORE,CORE,Effective Communication,160,11 ,11,3,2,6,,,,,20,50,30,30,30,40
SSHS - CORE,CORE,General Mathematics,160,11 ,11,3,2,6,,,,,20,50,30,30,30,40
SSHS - CORE,CORE,General Science,160,11 ,11,3,2,6,,,,,20,50,30,30,30,40
SSHS - CORE,CORE,Life and Career Skills,160,11 ,11,3,2,6,,,,,20,50,30,30,30,40
SSHS - CORE,CORE,Mabisang Komunikasyon,160,11 ,11,3,2,6,,,,,20,50,30,30,30,40
SSHS - CORE,CORE,Pag-aaral ng Kasaysayan at Lipunang Pilipino,160,11 ,11,3,2,6,,,,,20,50,30,30,30,40
SSHS - ACADEMIC,"ARTS, SOCIAL SCIENCES, AND HUMANITIES",Art Criticism and Creative Markets,80,"11, 12",11,1,3,3,12,1,3,3,20,60,20,30,30,40
SSHS - ACADEMIC,"ARTS, SOCIAL SCIENCES, AND HUMANITIES",Citizenship and Civic Engagement,80,"11, 12",11,1,3,3,12,1,3,3,20,60,20,30,30,40
SSHS - ACADEMIC,"ARTS, SOCIAL SCIENCES, AND HUMANITIES",Contemporary Literature 1,80,"11, 12",11,1,3,3,12,1,3,3,20,60,20,30,30,40
SSHS - ACADEMIC,"ARTS, SOCIAL SCIENCES, AND HUMANITIES",Contemporary Literature 2,80,"11, 12",11,1,3,3,12,1,3,3,20,60,20,30,30,40
SSHS - ACADEMIC,"ARTS, SOCIAL SCIENCES, AND HUMANITIES",Creative Composition 1,80,"11, 12",11,1,3,3,12,1,3,3,20,60,20,30,30,40
SSHS - ACADEMIC,"ARTS, SOCIAL SCIENCES, AND HUMANITIES",Creative Composition 2,80,"11, 12",11,1,3,3,12,1,3,3,20,60,20,30,30,40
SSHS - ACADEMIC,"ARTS, SOCIAL SCIENCES, AND HUMANITIES",Creative Industries - Applied and Traditional Arts,80,"11, 12",11,1,3,3,12,1,3,3,20,60,20,30,30,40
SSHS - ACADEMIC,"ARTS, SOCIAL SCIENCES, AND HUMANITIES",Creative Industries - Dance,80,"11, 12",11,1,3,3,12,1,3,3,20,60,20,30,30,40
